Hour,Sum_DPM_2016,Av_DPM_2016,Sum_DPM_2017,Av_DPM_2017,Sum_DPM_2018,Av_DPM_2018
1,874,14.56666667,505,8.416666667,731,12.18333333
2,765,12.75,485,8.083333333,638,10.63333333
3,764,12.73333333,407,6.783333333,666,11.1
4,832,13.86666667,489,8.15,514,8.566666667
5,925,15.41666667,405,6.75,311,5.183333333
6,898,14.96666667,417,6.95,256,4.266666667
7,1014,16.9,387,6.45,175,2.916666667
8,875,14.58333333,420,7,152,2.533333333
9,819,13.65,339,5.65,125,2.083333333
10,766,12.76666667,245,4.083333333,146,2.433333333
11,610,10.16666667,302,5.033333333,101,1.683333333
12,603,10.05,182,3.033333333,89,1.483333333
13,547,9.116666667,202,3.366666667,71,1.183333333
14,492,8.2,221,3.683333333,49,0.816666667
15,552,9.2,231,3.85,121,2.016666667
16,559,9.316666667,288,4.8,119,1.983333333
17,738,12.3,344,5.733333333,140,2.333333333
18,778,12.96666667,406,6.766666667,143,2.383333333
19,867,14.45,545,9.083333333,243,4.05
20,892,14.86666667,601,10.01666667,385,6.416666667
21,951,15.85,657,10.95,519,8.65
22,774,12.9,546,9.1,662,11.03333333
23,828,13.8,429,7.15,705,11.75
24,649,10.81666667,581,9.683333333,778,12.96666667
